Public and Secret Objectives				
				
Public Objectives			Secret Objectives	
Stage I 1 VP	Stage II 2 VP		1 VP each (maximum 3 scored + in hand)	
Erect a Monument: Status Phase Spend 8 resources.	Found a Golden Age: Status Phase Spend 16 resources.		Unveil Flagship: Action Phase Win a space combat in a system that contains your flagship. You cannot score this objective if your flagship is destroyed in the combat.	Adapt New Strategies: Status Phase  Own 2 faction technologies. "Valefar Assimilator" technologies do not count toward this objective.
Sway the Council: Status Phase Spend 8 influence.	Manipulate Galactic Law: Status Phase Spend 16 influence.		Turn their Fleets to Dust: Action Phase Use SPACE CANNON to destroy the last of a player's ships in a system.	Master the Laws of Physics: Status Phase Own 4 technologies of the same color.
Negociate Trade Routes: Status Phase Spend 5 trade goods.	Centralize Galactic Trade: Status Phase Spend 10 trade goods.		Destroy their Greatest Ship: Action Phase Destroy another player's war sun or flagship.	Form a Spy Network: Status Phase Discard 5 action cards.
Lead from the Front: Status Phase Spend a total of 3 tokens from your tactic and/or strategy pools.	Galvanize the People: Status Phase Spend a total of 6 tokens from your tactic and/or strategy pools.		Spark a Rebellion: Action Phase Win a combat against a player who has the most victory points.	Gather a Mighty Fleet: Status Phase Have 5 dreadnoughts on the board.
Diversify Research: Status Phase Own 2 technologies in each of 2 colors.	Master of Sciences: Status Phase Own 2 technologies in each of 4 colors.		Threaten Enemies: Status Phase Have 1 or more ships in a system that is adjacent to another player's home system.	Establish a Perimeter: Status Phase Have 4 PDS units on the game board.
Develop Weaponry: Status Phase Own 2 unit upgrade technologies.	Revolutionize Warfare: Status Phase Own 3 unit upgrade technologies.		Make an Example of their World: Action Phase Use BOMBARDMENT to destroy the last of a player's ground forces on a planet.	Fuel the War Machine: Status Phase Have 3 space docks on the game board.
Found Research Outposts Status Phase Control 3 planets that have technology specialties.	Form Galactic Brain Trust: Status Phase Control 5 planets that have technology specialties.		Cut Supply Lines: Status Phase Have 1 or more ships in the same system as another player's space dock.	Become the Gatekeeper: Status Phase Have one or more ships in a system that contains an alpha wormhole and 1 or more ships in a system that contains a beta wormhole.
Intimidate the Council: Status Phase Have 1 or more ships in 2 systems that are adjacent to Mexatol Rex's system.	Conquer the Weak: Status Phase Control 1 planet that is in another player's home system.		Monopolize PRODUCTION: Status Phase Control 4 industrial planets.	Learn the Secrets of the Cosmos: Status Phase Have 1 or more ships in 3 systems that are each adjacent to an anomaly.
Expand Borders: Status Phase Control 6 planets in non-home systems.	Subdue the Galaxy: Status Phase Control 11 planets in non-home systems.		Mine Rare Minerals: Status Phase Control 4 hazardous planets.	Control the Region: Status Phase Have 1 or more ships in 6 systems.
Corner the Market: Status Phase Control 4 planets that each have the same planet trait.	Unify the Colonies: Status Phase Control 6 planets that each have the same planet trait.		Forge an Alliance: Status Phase Control 4 cultural planets.	Occupy the Seat of the Empire: Status Phase Control Mecatol Rex and have 3 or more ships in its system.
Amass Wealth: Status Phase Spend 3 influence, 3 resources and 3 trade goods	Hold Vast Reserves: Status Phase Spend 6 influence, 6 resources, and 6 trade goods.		Become a Martyr: Action Phase Lose control of a planet in a home system.	Fight With Precision Action Phase Use ANTI-FIGHTER BARRAGE to destroy the last of a player's fighters in a system.
Build Defenses: Status Phase Have 4 or more structures	Construct Massive Cities: Status Phase Have 7 or more structures.		Betray a Friend: Action Phase Win a combat against a player whose promissory note you had in your play area at the start of your tactical action.	Foster Cohesion Status Phase Be neighbors with all other players.
Discover Lost Outposts: Status Phase Control 2 planets that have attachments	Reclaim Ancient Monuments: Status Phase Control 3 planets that have attachments.		Brave the Void: Action Phase Win a combat in an anomaly.	Hoard Raw Materials: Status Phase Control planets that have a combined resource value of at least 12.
Engineer a Marvel: Status Phase Have your flagship or a warsun on the board	Achieve Supremacy: Status Phase Have your flagship or war sun in another player's home system or the Mecatol Rex system.		Darken the Skies: Action Phase Win a combat in another player's home system.	Mechanize the Military: Status Phase Have 1 mech on each of 4 planets.
Explore Deep Space: Status Phase Have units in 3 systems that do not contain planets	Patrol Vast Territories: Status Phase Have units in 5 systems that do not contain planets.		Defy Space and Time: Status Phase Have units in the wormhole nexus.	Occupy the Fringe: Status Phase Have 9 or more ground forces on a planet that does not contain 1 of your space docks.
Improve Infrastructure: Status Phase Have structures on 3 planets outside of your home system	Protect The Border: Status Phase Have structures on 5 planets outside of your home system.		Demonstrate your Power: Action Phase Have 3 or more non-fighter ships in the active system at the end of a space combat.	Produce en Masse: Status Phase Have units with a combined PRODUCTION value of at least 8 in a single system.
Make History: Status Phase Have units in 2 systems that contain legendary planets, Mecatol Rex or anomalies	Become a Legend: Status Phase Have units in 4 systems that contain legendary planets, Mecatol Rex, or anomalies.		Destroy Heretical Works: Status Phase Purge 2 of your relic fragments of any type.	Prove Endurance: Action Phase Be the last player to pass during a game round.
Populate the Outer Rim: Status Phase Have units in 3 systems on the edge of the game board other than your home system	Control the Borderlands: Status Phase Have units in 5 systems on the edge of the game board other than your home system.		Dictate Policy: Agenda Phase There are 3 or more laws in play.	Seize an Icon: Status Phase Control a legendary planet.
Push Boundaries: Status Phase Control more planets than each of your neighbors	Rule Distant Lands: Status Phase Control 2 planets that are each in or adjacent to a different, other player's home system.		Drive the Debate: Agenda Phase You or a planet you control are elected by an agenda.	Stake Your Claim: Status Phase Control a planet in a system that contains a planet controlled by another player.
Raise a Fleet: Status Phase Have 5 or more non-fighter ships in 1 system	Command an Armada: Status Phase Have 8 or more non-fighter ships in 1 system.		Establish Hegemony: Status Phase Control planets that have a combined influence value of at least 12.	Strengthen Bonds: Status Phase Have another player's promissory note in your play area.
